customer_id,leaky_id,tenure_months,monthly_charges,support_calls,avg_call_duration,post_outcome_refund,target_leak_direct,churn
CUST1000,ID2000,31,64.79,2,5.28,0.0,1.7409408300004597e-05,0
CUST1001,ID2001,8,110.86,5,11.67,170.71,0.9988779812712532,1
CUST1002,ID2002,4,49.36,2,4.54,0.0,-0.000517094457920228,0
CUST1003,ID2003,7,48.78,3,9.56,0.0,-0.000997026827650263,0
CUST1004,ID2004,22,33.0,3,14.61,0.0,0.0002487991613877705,0
CUST1005,ID2003,50,21.94,2,13.01,0.0,-0.0002966411523708628,0
CUST1006,ID2006,58,87.88,0,5.12,0.0,0.0004952113239779604,0
CUST1007,ID2007,4,41.16,2,8.42,0.0,-0.00017470315974250095,0
CUST1008,ID2008,5,46.55,4,10.06,0.0,0.0009863351878212421,0
CUST1009,ID2009,25,69.16,3,12.78,0.0,0.00021353390133544182,0
CUST1010,ID2010,50,25.34,1,4.04,0.0,0.0021906997289697335,0
CUST1011,ID2011,44,77.41,1,2.24,189.8,0.9981036390771089,1
CUST1012,ID2012,13,34.67,4,2.91,0.0,-0.000646916688254908,0
CUST1013,ID2013,27,78.93,0,8.32,85.15,1.0009014868916488,1
CUST1014,ID2014,53,89.98,0,9.88,0.0,0.0025283257068063982,0
CUST1015,ID2015,17,30.23,0,9.4,192.35,0.9997513652222846,1
CUST1016,ID2016,46,61.41,2,6.13,0.0,4.366899317838911e-05,0
CUST1017,ID2017,52,89.44,2,14.85,0.0,-0.0002263142425136052,0
CUST1018,ID2018,42,61.42,3,9.54,0.0,0.001331457112587592,0
CUST1019,ID2019,19,25.0,0,6.94,0.0,-0.00028730786347601887,0
CUST1020,ID2020,16,73.59,3,9.16,108.5,1.0006800698398781,1
CUST1021,ID2021,1,86.38,3,11.69,122.9,0.9996801984011013,1
CUST1022,ID2022,5,71.49,0,10.7,0.0,-0.0012725587552459942,0
CUST1023,ID2023,26,114.46,0,5.44,132.43,1.0003135477204634,1
CUST1024,ID2024,48,78.66,0,2.86,188.93,1.0005031848134354,1
CUST1025,ID2025,35,110.34,0,6.81,187.81,1.0012932258825322,1
CUST1026,ID2026,24,33.75,2,10.19,0.0,-0.00011044702641731631,0
CUST1027,ID2027,8,33.93,0,4.73,0.0,-0.0006173620637123609,0
CUST1028,ID2028,27,100.74,0,11.79,0.0,0.0005627610966190263,0
CUST1029,ID2029,26,59.77,2,2.86,68.95,1.0002407370922377,1
